State,Route,Bus Name,Start Time,End Time,Rating,Price,Bus Type,Departure Location,Arrival Location,Total Duration,Seats Available
bus-tickets,Udaipur to Jodhpur,Shree Devnarayan Travels,17:00,21:30,4.5,550,Bharat Benz A/C Seater (2+1),Udiapole,Laxmi Travels Kalpatru Cinema...,04h 30m,3 Seats available
bus-tickets,Udaipur to Jodhpur,M R Travels,17:10,21:55,4.5,485,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),"Jain travels, below hotel rel...",Shatabdi Circle,04h 45m,30 Seats available
bus-tickets,Udaipur to Jodhpur,Raj Travel,22:30,05:30,4.5,550,A/C Sleeper (2+1),Udiapole,"Main Pal Road,Near Barkatulla...",07h 00m,15 Seats available
bus-tickets,Udaipur to Jodhpur,Jain travels regd,21:30,04:30,4.1,460,A/C Seater / Sleeper (2+1),Udiapole,"Jain travels, opp. Kalpataru ...",07h 00m,30 Seats available
bus-tickets,Udaipur to Jodhpur,Jakhar Travels,22:00,04:30,3.8,400,A/C Seater / Sleeper (2+1),Udiapole,Paras Circle,06h 30m,34 Seats available
bus-tickets,Udaipur to Jodhpur,Jain travels regd,22:00,04:00,3.7,350,NON AC Seater / Sleeper 2+1,Udiapole,Jhalamande Circle,06h 00m,41 Seats available
bus-tickets,Udaipur to Jodhpur,Kalpana Travels,22:00,04:54,4.1,300,NON AC Seater / Sleeper 2+1,Rk circle shobhagpura road,Riktiya Bheruji Circle,06h 54m,27 Seats available
bus-tickets,Udaipur to Jodhpur,Jain travels regd,22:15,04:30,4.3,360,NON AC Seater / Sleeper 2+1,Udiapole,Mota Chiloda,06h 15m,32 Seats available
bus-tickets,Udaipur to Jodhpur,Rishabh Travels Milan,21:00,02:15,3.3,667,A/C Seater / Sleeper (2+1),Fatepura choraha,Mota Chiloda,05h 15m,13 Seats available
bus-tickets,Udaipur to Jodhpur,Jain travels regd,16:05,22:00,2.5,350,NON AC Seater / Sleeper 2+1,Reti Stand,Mota Chiloda,05h 55m,41 Seats available
bus-tickets,Udaipur to Jodhpur,Ravi Travels,23:00,05:45,2.5,400,NON A/C Seater/ Sleeper (2+1),Udiapole,MR Travels Paota,06h 45m,36 Seats available
bus-tickets,Udaipur to Jodhpur,Jain travels regd,17:30,23:55,3.2,500,A/C Seater / Sleeper (2+1),Udiapole,"Jain travels, opp. Kalpataru ...",06h 25m,16 Seats available
bus-tickets,Udaipur to Jodhpur,Shrinath travel agency,22:00,03:30,2.0,500,AC Sleeper (2+1),Apex chandra travels,Paota,05h 30m,20 Seats available
bus-tickets,Udaipur to Jodhpur,Ravi Travels,21:30,04:15,5.0,400,Non A/C Seater / Sleeper (2+1),Udiyapole lakecity travels - ...,Mota Chiloda,06h 45m,30 Seats available
